29,121,41,53,27,144,55
25,46,11,24,1,47,10
30,197,64,76,13,167,54
29,211,78,91,22,335,103
27,148,56,61,11,0,0
32,282,93,126,23,214,64
29,258,87,102,13,178,47
24,29,8,13,0,4,0
22,2,2,0,0,0,0
20,0,0,0,0,0,0
29,139,37,71,25,226,78
27,217,70,94,39,336,119
29,225,73,107,72,544,208
27,120,29,59,19,189,59
18,2,0,1,0,0,0
26,60,37,15,13,73,25
26,147,48,65,0,0,0
20,0,0,0,0,0,0
31,69,12,41,0,0,0
23,65,28,16,0,0,0
27,153,53,64,6,0,0
27,72,28,27,4,0,0
26,44,17,16,3,0,0
31,276,114,79,20,0,0
18,4,1,2,0,0,0
23,31,11,15,0,0,0
19,0,0,0,0,0,0
30,185,76,73,7,144,36
31,284,114,110,61,603,221
27,48,18,19,1,27,5
24,2,1,0,0,0,0
22,106,46,34,5,60,15
22,8,2,2,0,0,0
29,2,2,0,0,1,1
29,2,2,0,1,4,1
27,131,40,65,17,182,54
28,46,14,17,0,26,7
25,8,2,4,0,9,1
31,119,38,51,11,219,72
23,111,41,47,31,280,85
23,116,43,46,28,195,77
31,346,176,93,75,616,267
29,49,14,19,10,71,30
24,126,59,41,12,157,65
28,61,23,23,4,35,10
20,31,9,13,2,31,13
19,11,3,4,0,6,1
23,1,0,1,0,0,0
32,2,0,2,0,0,0
27,1,0,1,0,0,0
28,2,0,2,0,0,0
32,33,7,21,0,0,0
32,40,9,24,0,0,0
30,26,7,17,0,0,0
27,30,6,21,0,0,0
23,0,0,0,0,0,0
24,1,0,1,0,0,0
23,3,3,0,0,0,0
29,32,6,21,1,19,6
31,41,3,29,1,19,3
28,9,0,9,0,0,0
29,12,1,9,0,1,0
29,43,7,28,2,33,7
23,15,8,4,0,4,2
24,24,4,18,0,22,5
